rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
44,-1,-8,4,planar,planar,92,-1.605761,-0.274615,-1.243993,1.778595,2.620176,1.628673,0.434178,0.375276,0.134127,1.265610,2,0.422240,0.352534,0.484431,-0.654116
45,3,18,10,planar,planar,31,2.134627,0.427196,-1.500401,2.235295,0.489665,-0.097766,0.327185,0.031339,0.291188,0.609506,1,0.702579,0.000000,0.287931,-0.781975
46,5,-10,2,planar,planar,16,-1.023446,0.297776,-1.324588,2.208003,1.845110,1.615804,0.035819,0.333333,0.048768,0.815022,2,0.493072,0.348630,0.298344,-0.797347
47,2,-7,1,planar,planar,38,-5.195945,3.455132,-1.327753,1.820326,2.417287,1.651182,0.573916,0.311281,0.172983,1.250529,2,0.493863,0.351713,0.456293,-0.820423
48,8,4,-1,planar,planar,24,1.932001,0.272042,-1.503558,2.242629,1.694731,-1.107584,0.000022,0.333333,0.059519,0.766696,1,0.127338,0.000000,0.095202,-0.954998
49,-6,-9,3,linear,linear,30,-1.879694,0.105571,-0.453325,1.744816,0.639935,2.334786,0.206462,0.200344,0.257389,0.632435,3,0.363824,0.585903,0.370185,-0.997542
50,9,18,8,planar,planar,24,0.707309,-0.119366,-1.411071,2.244656,1.189863,0.711424,0.104448,0.351852,0.226149,0.794709,2,0.365198,0.241981,0.126780,-1.166497
51,2,-9,4,planar,planar,41,-2.368787,0.037875,-1.181132,1.594782,2.733324,1.139038,0.209462,0.793651,0.214357,1.422456,2,0.448005,0.282623,0.470524,-1.234465
52,-8,-9,3,planar,planar,26,-3.193700,0.658915,-1.470576,2.123157,1.698997,2.919716,0.001598,0.333333,0.059902,0.768824,3,0.393576,0.692111,0.453761,-1.509805
53,-8,-1,4,planar,planar,54,0.283113,-0.388132,-1.464520,1.903299,0.354705,1.563384,0.243988,0.126420,0.333240,0.601779,2,0.680640,0.299942,0.376952,-1.554750
54,1,-7,-5,planar,planar,249,-0.555681,0.479978,-1.797281,3.428236,2.313781,1.381875,0.248318,0.702848,0.323803,1.375029,2,0.902856,0.239252,0.488818,-1.605564
55,-6,-7,7,planar,planar,69,1.421143,-0.111048,-1.786007,3.344668,2.309916,-0.425567,0.002210,0.666667,0.150622,1.136317,2,0.158952,0.111721,0.199814,-1.936231
56,-9,-3,2,planar,planar,110,1.678451,0.095125,-1.961578,3.742968,-1.016706,2.880820,0.021045,0.168442,0.600345,0.347030,3,0.535934,0.642306,0.380697,-2.066857
57,-5,-7,-3,planar,planar,21,0.368945,-0.015819,-1.287367,2.238249,1.164276,-0.119718,0.002260,0.463415,0.221603,0.779474,1,0.713887,0.000000,0.344649,-2.127931
58,9,0,-3,planar,planar,17,1.262513,-0.238214,-1.389486,2.242718,1.712542,-1.350000,0.000253,0.333333,0.053326,0.767008,1,0.000000,0.000000,0.082721,-2.245363
59,-7,-9,3,planar,planar,53,1.118933,-0.612324,-1.802997,3.459701,-0.145775,2.652995,0.001071,0.023810,0.278133,0.294303,3,0.371080,0.644823,0.353403,-2.248869
60,-4,-3,3,planar,planar,347,2.049810,0.121668,-1.657859,2.895446,0.213005,-0.083043,0.226774,0.182906,0.420127,0.640675,1,0.666769,0.000000,0.295933,-2.251864
61,-5,-1,4,planar,planar,83,1.340579,-0.482564,-1.420864,2.192498,1.067388,-0.567315,0.065902,0.369478,0.241005,0.762060,1,0.280963,0.000000,0.162481,-2.255275
62,-1,19,9,planar,planar,24,1.075340,-0.548776,-1.583876,2.239481,2.371264,-1.350000,0.001680,0.666667,0.127663,1.135602,1,0.000000,0.000000,0.146419,-2.275529
63,-5,13,10,planar,planar,32,-0.317541,0.159439,-1.288230,2.230039,2.550186,-1.350000,0.026990,0.666667,0.093663,1.169770,1,0.000000,0.000000,0.148660,-2.476186
64,-7,1,5,planar,planar,57,0.754191,-0.284560,-1.963458,3.704062,1.094358,1.563121,0.160527,0.353234,0.331083,0.871935,2,0.606093,0.320507,0.380830,-2.540410
65,-8,5,3,planar,planar,40,1.614398,-0.297262,-1.391489,2.188078,-0.044070,-0.270435,0.073624,0.225362,0.368108,0.480624,1,0.603316,0.000000,0.201515,-2.576936
66,5,-7,0,linear,linear,64,-3.222173,0.339506,-0.277058,1.573967,1.061369,1.049601,0.159344,0.107981,0.117587,0.600560,2,0.519702,0.268466,0.280922,-2.622722
67,6,18,9,planar,planar,25,0.378573,-0.493287,-1.581345,2.246410,1.158505,0.106889,0.061188,0.444444,0.277052,0.838160,2,0.326115,0.163507,0.126509,-2.677076
68,-8,7,2,linear,linear,31,-7.486875,1.487355,-0.361796,1.796270,3.354773,2.107857,0.236639,0.666667,0.058383,1.452797,3,0.601640,0.521159,0.491760,-2.694956
69,-8,2,5,planar,planar,65,0.633189,-0.375244,-1.697274,3.179514,0.859310,1.052004,0.057605,0.387978,0.324986,0.771209,2,0.572871,0.259380,0.310273,-2.707529
70,-7,-8,0,planar,planar,130,1.795891,-0.210883,-1.645560,2.544016,0.099252,-0.389394,0.133636,0.263023,0.427303,0.603068,1,0.462552,0.000000,0.156486,-2.894710
