rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
122,-7,-7,8,planar,62,2.491674,0.268030,-2.208318,3.143755,-1.364006,0.015497,0.169780,0.528165,0.341013,-3.956376
123,0,-6,-2,planar,114,1.737275,0.304321,-2.097166,2.714325,-1.194709,0.000096,0.222967,0.505085,0.378727,-3.964604
124,-6,7,8,planar,35,-0.008493,-0.247665,-1.949933,2.333677,0.453304,0.009767,0.403101,0.301494,0.723263,-4.086464
125,-7,-10,6,linear,39,-2.498895,0.829272,-0.627294,1.791688,-0.001415,0.013088,0.022989,0.161684,0.309623,-4.090020
126,6,-8,2,planar,46,-2.469894,0.603260,-1.384106,2.052628,1.183577,0.094283,0.441860,0.197357,0.879995,-4.119791
127,6,0,0,planar,195,-1.155408,0.112542,-1.575150,1.888848,0.365837,0.245639,0.245683,0.299124,0.735196,-4.141027
128,-8,-5,8,planar,57,2.277379,0.189290,-2.308372,3.477022,-0.822722,0.075360,0.281385,0.518217,0.544593,-4.141448
129,-4,-11,8,planar,46,0.104736,-0.047889,-1.962204,2.289336,-0.045511,0.064911,0.013889,0.221368,0.369574,-4.240204
130,-8,6,8,planar,18,-1.799083,0.648227,-1.518382,2.209212,0.615586,0.018548,0.365079,0.228507,0.693293,-4.262864
131,6,7,0,planar,83,2.567656,0.078348,-2.343721,3.312758,-1.297863,0.097684,0.094916,0.529815,0.369614,-4.308338
132,-9,1,8,planar,61,-2.740360,0.809797,-1.895536,2.235395,1.624341,0.010228,0.333333,0.062106,0.780474,-4.437153
133,6,4,3,planar,109,0.700840,-0.226993,-2.038759,2.779004,-0.110748,0.127870,0.389958,0.445547,0.734912,-4.454664
